NAME,SCHOOL_BOARD,MUN,LATITUDE,LONGITUDE,SCHOOL_TYPE,2013 RATING,2014 RATING,2015 RATING,2016 RATING,2017 RATING,INCOME,INCOME_BINS
BREBEUF COLLEGE SCHOOL,ES,North York,43.8015247769,-79.4030414077,SECONDARY,5.8,6.5,5.5,5.2,5.8,130944.0,6
BRIAN PUBLIC SCHOOL,EP,North York,43.7817281249,-79.3318098371,ELEMENTARY,6.7,7.8,7.4,7.6,8.2,97280.0,4
BRIDLEWOOD JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7808048754,-79.3150986096,ELEMENTARY,9.2,8.3,8.5,8.1,7.1,123072.0,6
BRIMWOOD BOULEVARD JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.8117085028,-79.2740928716,ELEMENTARY,6.7,7.1,7.0,7.3,6.5,57728.0,2
BROCK JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6530582733,-79.4378473815,ELEMENTARY,7.0,6.6,6.6,6.2,7.5,64256.0,3
BROOKSIDE PUBLIC SCHOOL,EP,Scarborough,43.830571737,-79.233607527,ELEMENTARY,7.7,7.9,7.6,7.3,7.4,108971.0,5
BROWN JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.684912913,-79.401312277,ELEMENTARY,8.4,8.8,8.5,8.4,6.7,80128.0,4
BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.7429657259,-79.575533843,ELEMENTARY,7.9,7.8,7.4,6.6,5.9,63360.0,3
BELLMERE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7719778947,-79.2351500731,ELEMENTARY,6.6,7.8,7.2,7.3,7.7,73984.0,3
BENDALE BUSINESS AND TECHNICAL INSTITUTE,EP,Scarborough,43.7553483643,-79.2647462877,SECONDARY,0.0,0.0,0.0,0.0,0.0,52896.0,2
BENNINGTON HEIGHTS ELEMENTARY SCHOOL,EP,East York,43.6938910519,-79.3695558663,ELEMENTARY,9.0,7.6,7.5,6.0,9.0,250368.0,10
BERNER TRAIL JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.8015707053,-79.2213557626,ELEMENTARY,5.2,5.3,5.3,5.4,6.4,68250.0,3
BESSBOROUGH DRIVE ELEMENTARY AND MIDDLE SCHOOL,EP,East York,43.7072233277,-79.3701384417,ELEMENTARY,8.5,8.9,8.6,8.3,7.4,192000.0,9
BEVERLY GLEN JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7986617097,-79.3230708612,ELEMENTARY,7.2,9.0,8.0,7.9,7.1,61227.0,3
BIALIK HEBREW DAY SCH,PR,North York,43.7107150166,-79.4281261382,ELEMENTARY,9.2,8.8,8.9,8.6,8.3,59008.0,2
BIRCH CLIFF HEIGHTS PUBLIC SCHOOL,EP,Scarborough,43.7017499908,-79.2598198285,ELEMENTARY,5.7,4.5,5.4,6.0,6.3,80768.0,4
BIRCH CLIFF PUBLIC SCHOOL,EP,Scarborough,43.691997318,-79.2655718249,ELEMENTARY,6.0,4.8,5.8,6.7,5.9,88320.0,4
BIRCHMOUNT PARK COLLEGIATE INSTITUTE,EP,Scarborough,43.6977616234,-79.2594577219,SECONDARY,4.3,4.3,3.7,4.0,4.4,12432.0,0
BISHOP ALLEN ACADEMY,ES,Etobicoke,43.6344364929,-79.5044679526,SECONDARY,8.0,8.0,8.6,7.8,7.1,120448.0,6
BLANTYRE PUBLIC SCHOOL,EP,Scarborough,43.6851086748,-79.2838678574,ELEMENTARY,6.6,7.2,6.7,6.4,6.2,94336.0,4
BRUCE JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6610444015,-79.3333392772,ELEMENTARY,4.6,5.3,5.4,6.3,5.6,81664.0,4
BUCHANAN PUBLIC SCHOOL,EP,Scarborough,43.7515342118,-79.2998952835,ELEMENTARY,6.1,4.6,5.4,5.6,2.7,79872.0,3
BURROWS HALL JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.792697958,-79.228818013,ELEMENTARY,6.9,5.7,6.2,6.1,6.3,87296.0,4
C W JEFFERYS COLLEGIATE INSTITUTE,EP,North York,43.757685053,-79.5000938732,SECONDARY,3.7,3.1,5.0,4.9,5.9,68480.0,3
CHARLOTTETOWN JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.782070232,-79.142208961,ELEMENTARY,7.1,7.1,7.2,7.3,7.2,84224.0,4
CHARTLAND JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7996268603,-79.2779255043,ELEMENTARY,7.7,8.1,8.1,8.5,7.5,80640.0,4
CHEROKEE PUBLIC SCHOOL,EP,North York,43.7987713568,-79.338617981,ELEMENTARY,9.0,10.0,9.2,8.6,7.3,65152.0,3
CHESTER LE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.798587703,-79.331095334,ELEMENTARY,3.5,5.4,4.7,5.3,0.2,62848.0,3
CHIEF DAN GEORGE PUBLIC SCHOOL,EP,Scarborough,43.8027309297,-79.1638378315,ELEMENTARY,5.4,3.2,4.6,5.2,5.5,57088.0,2
CHINE DRIVE PUBLIC SCHOOL,EP,Scarborough,43.709982589,-79.241796888,ELEMENTARY,7.7,6.6,7.2,7.3,7.9,113920.0,5
CHURCH STREET JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.663608426,-79.37917817,ELEMENTARY,6.6,6.9,6.7,6.6,6.1,30656.0,1
CHURCHILL HEIGHTS PUBLIC SCHOOL,EP,Scarborough,43.7729977223,-79.2243958398,ELEMENTARY,7.6,7.2,7.7,8.4,7.9,75776.0,3
CITY SCHOOL,EP,former Toronto,43.6357573919,-79.3971908313,SECONDARY,2.3,2.3,2.3,2.3,1.5,76672.0,3
CLAIRLEA PUBLIC SCHOOL,EP,Scarborough,43.7165985793,-79.2961898941,ELEMENTARY,6.7,6.6,6.5,6.1,6.3,88832.0,4
CLINTON STREET JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.657646075,-79.414057574,ELEMENTARY,8.0,7.1,7.2,6.5,6.0,78080.0,3
CORNELL JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.759392572,-79.218038218,ELEMENTARY,6.9,5.9,6.5,6.6,7.0,74240.0,3
CORVETTE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.72649371,-79.262162924,ELEMENTARY,4.6,4.3,4.4,4.3,4.0,28715.0,1
COTTINGHAM JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6803880219,-79.3956122531,ELEMENTARY,10.0,9.9,9.9,9.8,9.8,118272.0,5
CRESTVIEW PUBLIC SCHOOL,EP,North York,43.78843218,-79.359846604,ELEMENTARY,7.4,8.1,7.8,7.8,8.1,84672.0,4
DALLINGTON PUBLIC SCHOOL,EP,North York,43.7771367306,-79.3547585895,ELEMENTARY,8.3,8.3,8.0,7.3,7.9,99072.0,4
DANFORTH GARDENS PUBLIC SCHOOL,EP,Scarborough,43.7084641565,-79.2709805959,SECONDARY,4.1,4.0,3.9,4.5,4.8,73984.0,3
DANTE ALIGHIERI ACADEMY - BEATRICE CAMPUS,ES,North York,43.728972908,-79.441355451,SECONDARY,4.9,5.6,5.1,4.9,4.9,59840.0,2
D'ARCY MCGEE CATHOLIC ELEMENTARY SCHOOL,ES,York,43.6922642125,-79.4429148435,ELEMENTARY,2.8,3.1,3.0,3.0,3.6,59776.0,2
DAVID AND MARY THOMSON COLLEGIATE INSTITUTE,EP,Scarborough,43.7536151702,-79.2595823284,SECONDARY,4.0,3.5,3.7,4.0,3.2,46464.0,2
CANADIAN MARTYRS CATHOLIC ELEMENTARY SCHOOL,ES,East York,43.69820851,-79.3193418547,ELEMENTARY,7.4,7.0,7.2,7.2,7.1,99072.0,4
CARDINAL LEGER CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.7931044192,-79.1757110912,ELEMENTARY,6.9,7.6,7.3,7.3,6.4,110848.0,5
CARLETON VILLAGE JUNIOR & SENIOR PUBLIC SCHOOL,EP,former Toronto,43.6723613883,-79.4600320573,ELEMENTARY,1.6,2.7,1.6,0.4,2.3,61440.0,3
CEDAR DRIVE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.745861417,-79.2150541311,ELEMENTARY,4.8,4.1,4.6,5.0,4.7,50347.0,2
CEDARBROOK JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7473019996,-79.2301959391,ELEMENTARY,7.0,7.2,7.4,7.9,6.9,86528.0,4
CEDARVALE COMMUNITY SCHOOL,EP,York,43.6961388705,-79.4303308145,ELEMENTARY,8.6,8.7,8.4,8.0,8.6,274944.0,10
CENTRAL COMMERCE COLLEGIATE INSTITUTE,EP,former Toronto,43.657987046,-79.422001861,SECONDARY,3.7,3.2,3.0,3.1,3.6,93440.0,4
CENTRAL ETOBICOKE HIGH SCHOOL,EP,Etobicoke,43.679018556,-79.555488934,SECONDARY,3.4,2.6,2.5,2.3,3.1,32256.0,1
CHARLES E WEBSTER JUNIOR PUBLIC SCHOOL,EP,York,43.6934430277,-79.475102782,ELEMENTARY,4.4,4.4,4.5,4.6,3.6,52352.0,2
CHARLES G FRASER JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6485386683,-79.4094868686,ELEMENTARY,6.1,5.1,6.0,6.7,6.9,74112.0,3
DAVID LEWIS PUBLIC SCHOOL,EP,Scarborough,43.8092053218,-79.3178892896,ELEMENTARY,8.6,9.9,9.4,9.6,8.7,82944.0,4
DAVISVILLE JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6992850174,-79.394899687,ELEMENTARY,7.8,6.6,7.5,8.0,7.6,47232.0,2
DENLOW PUBLIC SCHOOL,EP,North York,43.7458480917,-79.3642309643,ELEMENTARY,9.8,9.6,9.7,9.6,8.8,161280.0,8
DEWSON STREET JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6565576496,-79.4245879346,ELEMENTARY,5.6,6.4,6.8,8.4,7.3,69632.0,3
DIXON GROVE JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.6847177512,-79.5559579304,ELEMENTARY,4.9,5.8,5.4,5.6,4.9,98304.0,4
DON MILLS COLLEGIATE INSTITUTE,EP,North York,43.7359678834,-79.3392803758,SECONDARY,7.2,7.5,7.1,7.1,7.2,51584.0,2
ST DEMETRIUS CATHOLIC ELEMENTARY SCHOOL,ES,Etobicoke,43.6846627919,-79.5219692264,ELEMENTARY,9.1,7.6,8.4,8.4,7.8,63317.0,3
ST DENIS CATHOLIC ELEMENTARY SCHOOL,ES,former Toronto,43.6730069342,-79.2899108249,ELEMENTARY,8.2,7.2,7.7,7.7,8.2,101888.0,5
ST DOMINIC SAVIO CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.79828437,-79.15602387,ELEMENTARY,6.0,6.9,6.5,6.5,7.3,113579.0,5
FRANKLAND COMMUNITY SCHOOL,EP,former Toronto,43.677137339,-79.349937446,ELEMENTARY,8.6,8.6,8.1,7.1,8.2,137557.0,6
GALLOWAY ROAD PUBLIC SCHOOL,EP,Scarborough,43.7649934242,-79.196837355,ELEMENTARY,5.2,5.6,5.4,5.4,3.0,50304.0,2
GARDEN AVENUE JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6432086797,-79.449126951,ELEMENTARY,8.1,8.4,8.3,8.3,8.3,75008.0,3
GATEWAY PUBLIC SCHOOL,EP,North York,43.7117348145,-79.3310123749,ELEMENTARY,6.2,6.4,6.3,6.3,5.6,46669.0,2
GENERAL BROCK PUBLIC SCHOOL,EP,Scarborough,43.71840849,-79.274867231,ELEMENTARY,5.2,4.3,5.3,6.5,5.7,89344.0,4
GENERAL CRERAR PUBLIC SCHOOL,EP,Scarborough,43.7456953679,-79.2795808729,ELEMENTARY,6.4,4.6,6.0,6.9,4.9,49237.0,2
GENERAL MERCER JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.67905973,-79.464012462,ELEMENTARY,2.4,1.2,1.5,0.8,2.9,75520.0,3
GEORGE HARVEY COLLEGIATE INSTITUTE,EP,York,43.684546506,-79.473699191,SECONDARY,3.8,3.2,4.0,3.4,6.3,63104.0,3
GEORGE P MACKIE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7393359146,-79.2119971538,ELEMENTARY,5.9,4.6,6.0,7.4,4.4,104704.0,5
GEORGE PECK PUBLIC SCHOOL,EP,Scarborough,43.7382670776,-79.2936384069,ELEMENTARY,4.9,5.9,5.9,7.0,6.4,81024.0,4
GEORGE S HENRY ACADEMY,EP,North York,43.764359961,-79.33992003,SECONDARY,2.9,4.7,4.5,3.6,4.3,47360.0,2
GLAMORGAN JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.771308916,-79.2895570406,ELEMENTARY,7.3,7.0,6.6,5.6,6.7,47936.0,2
GLEDHILL JUNIOR PUBLIC SCHOOL,EP,East York,43.687653478,-79.309514212,ELEMENTARY,5.6,5.9,5.7,5.7,5.1,66475.0,3
GLEN PARK PUBLIC SCHOOL,EP,North York,43.7131808389,-79.4363852421,ELEMENTARY,4.8,5.1,5.4,6.2,6.5,84864.0,4
SENECA HILL PRIVATE,PR,North York,43.7454215217,-79.3466862533,ELEMENTARY,10.0,9.4,9.6,9.5,10.0,122112.0,6
SILVERTHORN COLLEGIATE INSTITUTE,EP,Etobicoke,43.6378444845,-79.5803918431,SECONDARY,6.1,6.7,6.3,5.7,5.7,154624.0,7
ST DOROTHY CATHOLIC ELEMENTARY SCHOOL,ES,Etobicoke,43.7315012917,-79.5917430392,ELEMENTARY,5.3,5.5,5.4,5.4,4.3,71296.0,3
ST DUNSTAN CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.6934377918,-79.2842424053,ELEMENTARY,4.8,4.6,4.7,4.7,6.2,53376.0,2
SIR JOHN A MACDONALD COLLEGIATE INSTITUTE,EP,Scarborough,43.787085969,-79.3236737389,SECONDARY,7.2,7.4,6.8,7.1,7.7,119040.0,5
SIR OLIVER MOWAT COLLEGIATE INSTITUTE,EP,Scarborough,43.7793105502,-79.1422414822,SECONDARY,7.0,6.6,6.2,5.6,5.9,79744.0,3
SIR SAMUEL B STEELE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.806659324,-79.3274451897,ELEMENTARY,7.4,8.0,8.2,9.1,8.6,92288.0,4
SPRUCECOURT JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6644945894,-79.3638331483,ELEMENTARY,6.8,6.2,6.1,5.3,6.6,76544.0,3
ST AGATHA CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.7236488054,-79.2298240658,ELEMENTARY,4.4,6.3,5.3,5.3,5.8,103680.0,5
ST AGNES CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.7985840919,-79.4026075055,ELEMENTARY,6.2,8.2,7.2,7.2,5.7,130944.0,6
ST AIDAN CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.7973881015,-79.3093697465,ELEMENTARY,5.5,6.5,6.0,6.0,5.9,75392.0,3
ST ALBERT CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.7436174619,-79.2613695538,ELEMENTARY,6.2,6.7,6.5,6.5,5.0,72064.0,3
ST ALPHONSUS CATHOLIC ELEMENTARY SCHOOL,ES,York,43.68291368,-79.432206444,ELEMENTARY,5.5,4.4,5.0,5.0,4.0,102144.0,5
ST ANDREW CATHOLIC ELEMENTARY SCHOOL,ES,Etobicoke,43.7449397297,-79.5823850816,ELEMENTARY,3.0,3.3,3.1,3.1,5.0,50005.0,2
ST ANDREWS PUBLIC SCHOOL,EP,Scarborough,43.7666538569,-79.2547994819,ELEMENTARY,8.2,6.5,7.3,7.1,7.7,88064.0,4
ST ANGELA CATHOLIC ELEMENTARY SCHOOL,ES,Etobicoke,43.7544314165,-79.5968703818,ELEMENTARY,3.9,4.5,4.2,4.2,5.6,83200.0,4
ST ANSELM CATHOLIC ELEMENTARY SCHOOL,ES,East York,43.7054029749,-79.3715983993,ELEMENTARY,7.9,8.4,8.2,8.2,8.8,192000.0,9
ST ANTHONY CATHOLIC ELEMENTARY SCHOOL,ES,former Toronto,43.6637121027,-79.4349720879,ELEMENTARY,6.3,6.1,6.2,6.2,6.6,65152.0,3
ST ANTOINE DANIEL CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.7770194311,-79.4298480288,ELEMENTARY,5.8,6.0,5.9,5.9,6.1,98304.0,4
ST AUGUSTINE CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.768236518,-79.525064289,ELEMENTARY,5.4,5.5,5.5,5.5,4.3,59520.0,2
ST BARNABAS CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.7972498361,-79.2285151089,ELEMENTARY,5.3,6.8,6.1,6.1,7.3,75008.0,3
ST BARTHOLOMEW CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.7896120199,-79.2716215859,ELEMENTARY,5.9,5.5,5.7,5.7,6.3,60160.0,3
GLEN RAVINE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7382332262,-79.254062144,ELEMENTARY,5.9,6.3,5.9,5.5,7.0,49536.0,2
GOLF ROAD JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7636669242,-79.2169734274,ELEMENTARY,5.9,5.5,5.8,5.9,4.8,54144.0,2
GREENHOLME JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.7350801204,-79.5829114161,ELEMENTARY,4.9,5.3,4.6,3.6,4.3,48213.0,2
GRENOBLE PUBLIC SCHOOL,EP,North York,43.7152831355,-79.3322557272,ELEMENTARY,6.9,6.0,5.9,4.7,5.2,42304.0,2
GREY OWL JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.8039979108,-79.2133035207,ELEMENTARY,5.7,6.2,6.3,7.1,3.7,45600.0,2
GUILDWOOD JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7508296829,-79.19998986,ELEMENTARY,1.8,4.1,3.4,4.2,4.8,116139.0,5
H A HALBERT JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7276582017,-79.231739254,ELEMENTARY,3.9,4.7,3.8,2.9,6.1,70400.0,3
HARBORD COLLEGIATE INSTITUTE,EP,former Toronto,43.661289515,-79.414266618,SECONDARY,7.6,7.5,7.8,7.4,7.2,73600.0,3
HARRISON PUBLIC SCHOOL,EP,North York,43.7573770721,-79.377311858,ELEMENTARY,9.0,9.5,9.1,8.7,9.3,281600.0,10
HARWOOD PUBLIC SCHOOL,EP,York,43.6761944985,-79.4784157486,ELEMENTARY,6.0,4.0,3.9,1.8,4.0,83968.0,4
HEATHER HEIGHTS JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7751644912,-79.2150719134,ELEMENTARY,3.6,3.3,4.3,6.0,5.1,75520.0,3
HOLY FAMILY CATHOLIC ELEMENTARY SCHOOL,ES,former Toronto,43.63875022,-79.434910996,ELEMENTARY,4.0,3.4,3.7,3.7,4.9,42304.0,2
HOLY NAME CATHOLIC ELEMENTARY SCHOOL,ES,former Toronto,43.6773560871,-79.3472880616,ELEMENTARY,6.5,7.8,7.2,7.2,6.6,103936.0,5
HOLY ROSARY CATHOLIC ELEMENTARY SCHOOL,ES,York,43.6850558999,-79.4140485754,ELEMENTARY,7.0,6.7,6.9,6.9,8.7,90258.0,4
HOWARD JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6503073011,-79.4519991186,ELEMENTARY,7.6,8.1,8.1,8.6,7.4,93611.0,4
HUMBER VALLEY VILLAGE JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.6655368721,-79.527340653,ELEMENTARY,7.4,8.2,7.9,8.1,8.1,95872.0,4
HUMBERCREST PUBLIC SCHOOL,EP,York,43.6604612262,-79.4910586436,ELEMENTARY,7.5,8.4,8.1,8.3,7.7,102400.0,5
HUMBERSIDE COLLEGIATE INSTITUTE,EP,former Toronto,43.6599512926,-79.4706460639,SECONDARY,8.2,8.1,8.3,8.1,8.1,110336.0,5
HUNTER'S GLEN JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.745712249,-79.260121987,ELEMENTARY,6.8,6.8,7.2,7.9,7.7,72896.0,3
HURON STREET JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6710467656,-79.4024143455,ELEMENTARY,8.0,7.4,7.4,6.9,6.8,46976.0,2
IMMACULATE CONCEPTION CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.6976887208,-79.4778249686,ELEMENTARY,5.4,5.1,5.3,5.3,3.4,45696.0,2
FRANCIS LIBERMANN CATHOLIC HIGH SCHOOL,ES,Scarborough,43.8074009571,-79.2743110507,SECONDARY,6.7,5.2,6.7,7.0,6.6,57728.0,2
SILVER SPRINGS PUBLIC SCHOOL,EP,Scarborough,43.8044381226,-79.3023801886,ELEMENTARY,6.8,6.3,6.8,7.2,7.5,62848.0,3
REGENT HEIGHTS PUBLIC SCHOOL,EP,Scarborough,43.7070899034,-79.2889078048,ELEMENTARY,6.2,7.9,7.2,7.4,8.0,71168.0,3
RICHVIEW COLLEGIATE INSTITUTE,EP,Etobicoke,43.6788772094,-79.5389156553,SECONDARY,8.2,8.1,8.2,7.9,7.7,101760.0,5
RIPPLETON PUBLIC SCHOOL,EP,North York,43.7409134352,-79.3601236993,ELEMENTARY,9.1,8.1,8.4,8.0,8.0,135680.0,6
RIVERDALE COLLEGIATE INSTITUTE,EP,former Toronto,43.6700562829,-79.3348630399,SECONDARY,7.8,7.1,6.7,7.1,7.0,78336.0,3
